Symbol,Name,Change,% Change,Price (Intraday),50 Day Average,200 Day Average,3-Mo Return,YTD Return
0P0001DH7Y.TO,3iQ Global Cryptoasset Fund - Class A CAD,+1.47,+5.95%,24.71,22.62,21.61,46.71%,52.09%
0P00018ICG.TO,"Phillips, Hager & North Long Inflation-Linked Bond Fund O",+0.38,+4.56%,8.32,8.69,9.01,-2.81%,-0.43%
0P00012FAT.TO,HSBC European Fund Institutional Series,+0.46,+3.84%,11.91,12.32,10.77,8.78%,9.01%
0P0001O25X.TO,HSBC European Fund D Series,+0.38,+3.84%,9.78,10.13,8.89,8.44%,8.69%
0P0000707A.TO,HSBC European Fund Investor Series,+1.09,+3.83%,28.41,29.43,25.89,8.17%,8.44%
0P00012ZOJ.TO,AIPM Junior Mining&Exploration UCITS Fund I,+3.50,+3.68%,95.12,99.78,100.77,N/A,N/A
0P00002707.TO,AIPM Junior Mining & Exploration UCITS Fund R Acc,+2.03,+3.67%,55.27,58.20,58.78,N/A,N/A
0P00012ZOK.TO,AIPM Junior Mining&Exploration UCITS Fund Retail,+2.84,+3.66%,77.59,81.70,82.52,N/A,N/A
0P0001CPBD.TO,"Phillips, Hager & North PRisM - Long Series O",+0.22,+3.31%,6.55,6.45,7.37,6.90%,13.27%
0P0001CPBB.TO,"Phillips, Hager & North Enhanced PRisM Long Fund Series O",+0.22,+3.08%,7.17,7.10,6.87,6.57%,12.24%
0P0001O263.TO,HSBC Chinese Equity Fund D Series,+0.23,+3.06%,7.53,8.30,7.86,-1.58%,-0.63%
0P0000OMTO.TO,HSBC Chinese Equity Fund Premium Series,+0.47,+3.06%,15.39,16.98,16.09,-1.70%,-0.74%
0P000073DE.TO,HSBC Chinese Equity Fund Investor Series,+0.80,+3.05%,26.34,29.11,27.60,-1.84%,-0.87%
0P0001CA53,Invesco Funds- Invesco China Focus Equity Fund Z Accumulation USD,+0.26,+3.03%,8.58,9.24,8.46,N/A,N/A
0P00012BS2.TO,HSBC Emerging Markets Fund Institutional Series,+0.57,+2.97%,19.06,20.44,20.14,-0.06%,1.11%
0P0000OMTM.TO,HSBC BRIC Equity Fund Premium Series,+0.32,+2.96%,10.85,11.65,11.77,-0.64%,0.50%
0P00007079.TO,HSBC Emerging Markets Fund Investor Series,+0.27,+2.95%,9.29,10.01,9.92,-0.70%,0.52%
0P0001DY5K.TO,Ninepoint Energy Fund,+0.47,+2.92%,16.02,17.56,18.71,-2.09%,-7.29%
0P0000732C.TO,Ninepoint Energy Fund,+0.69,+2.91%,23.65,25.94,27.76,-2.36%,-7.52%
0P0001KSK8.TO,HSBC International Equity Index Fund - Institutional Series CAD,+0.29,+2.91%,9.82,10.02,9.27,6.53%,7.02%
0P0001KSK6.TO,HSBC International Equity Index Fund - Premium Series CAD,+0.26,+2.91%,9.03,9.22,8.54,6.32%,6.83%
0P0001O26P.TO,HSBC AsiaPacific Fund D Series,+0.23,+2.86%,8.08,8.67,8.14,-0.91%,-0.00%
0P0001A2VZ.TO,Ravenstone Equity Trust Series I,+0.59,+2.85%,20.69,20.85,21.03,3.06%,4.03%
0P0001LK0J,Nordea 1 - Chinese Equity BC - USD,+3.47,+2.84%,122.28,130.83,189.11,N/A,N/A
0P00012MQ7.TO,BMO European D,+0.35,+2.72%,12.70,12.82,11.36,11.42%,11.93%
